# Computers
30:E3:7A:D3:31:37,192.168.1.50,tv-computer,
90-0E-B3-01-C3-31,192.168.1.51,osmc,

# Lights
28-6C-07-10-AB-C3,192.168.1.70,yeelink-light-color1_miio48228312,Living Room 1
34-CE-00-84-AF-B4,192.168.1.71,yeelink-light-color1_miio56528147,Living Room 2
34-CE-00-84-7A-84,192.168.1.72,yeelink-light-color1_miio56514531,Living Room 3
28-6C-07-10-BA-DF,192.168.1.73,yeelink-light-color1_miio48232180,Bedroom Light
7C-49-EB-B3-92-D2,192.168.1.74,yeelink-light-ceiling1_mibt99067120,Kitchen


# Switches
34:EA:34:E3:C9:CD,192.168.1.75,Broadlink_RMMINI-e3-c9-cd,Living Room Broadlink
34:EA:34:E3:CA:D7,192.168.1.76,Broadlink_RMMINI-e3-ca-d7,Bedroom Broadlink
